Adj Close,action,Stop_loss
47.91999816894531,buy,43.12799835205078
44.86000061035156,sell,40.374000549316406
46.25,buy,41.625
43.66999816894531,sell,39.302998352050786
46.790000915527344,buy,42.111000823974614
45.18000030517578,sell,40.662000274658205
46.0,buy,41.4
41.54999923706055,sell,37.3949993133545
45.459999084472656,buy,40.91399917602539
39.900001525878906,sell,35.91000137329102
43.4900016784668,buy,39.14100151062012
41.2599983215332,sell,37.133998489379884
44.2599983215332,buy,39.83399848937989
